==================================================24/03/2024 19:08:53==================================================
(epoch: 1, iters: 20, errors: 1, time: 5.71e+02s) a_loss: 0.183, a_SSIM: 81.700%, a_time: 28.5, b_SSIM: 94.300%, l_SSIM: 54.600%
(epoch: 1, iters: 20, errors: 0, time: 5.24e+02s) a_loss: 0.161, a_SSIM: 83.900%, a_time: 26.2, b_SSIM: 95.500%, l_SSIM: 59.300%
(epoch: 1, iters: 20, errors: 0, time: 5.34e+02s) a_loss: 0.192, a_SSIM: 80.800%, a_time: 26.7, b_SSIM: 96.100%, l_SSIM: 57.200%
(epoch: 1, iters: 20, errors: 3, time: 5.97e+02s) a_loss: 0.148, a_SSIM: 85.200%, a_time: 29.9, b_SSIM: 95.100%, l_SSIM: 60.100%
(epoch: 1, iters: 20, errors: 3, time: 5.62e+02s) a_loss: 0.196, a_SSIM: 80.400%, a_time: 28.1, b_SSIM: 93.200%, l_SSIM: 60.800%
(epoch: 1, iters: 20, errors: 1, time: 5.91e+02s) a_loss: 0.159, a_SSIM: 84.100%, a_time: 29.6, b_SSIM: 95.000%, l_SSIM: 67.900%
==================================================24/03/2024 21:10:59==================================================
(epoch: 1, iters: 20, errors: 1, time: 5.7e+02s) a_loss: 0.188, a_SSIM: 81.200%, a_time: 28.5, b_SSIM: 95.700%, l_SSIM: 43.400%
(epoch: 1, iters: 20, errors: 1, time: 5.4e+02s) a_loss: 0.197, a_SSIM: 80.300%, a_time: 27.0, b_SSIM: 92.700%, l_SSIM: 58.400%
(epoch: 1, iters: 20, errors: 0, time: 6.43e+02s) a_loss: 0.188, a_SSIM: 81.200%, a_time: 32.1, b_SSIM: 92.700%, l_SSIM: 43.300%
==================================================24/03/2024 23:36:34==================================================
(epoch: 1, iters: 20, errors: 1, time: 6.74e+02s) a_loss: 0.195, a_SSIM: 80.500%, a_time: 33.7, b_SSIM: 92.600%, l_SSIM: 59.800%
(epoch: 1, iters: 20, errors: 1, time: 6.37e+02s) a_loss: 0.191, a_SSIM: 80.900%, a_time: 31.8, b_SSIM: 92.000%, l_SSIM: 65.000%
(epoch: 1, iters: 20, errors: 0, time: 6.57e+02s) a_loss: 0.178, a_SSIM: 82.200%, a_time: 32.8, b_SSIM: 94.400%, l_SSIM: 64.800%
(epoch: 1, iters: 20, errors: 0, time: 6.4e+02s) a_loss: 0.158, a_SSIM: 84.200%, a_time: 32.0, b_SSIM: 96.500%, l_SSIM: 54.000%
(epoch: 1, iters: 20, errors: 0, time: 6.22e+02s) a_loss: 0.162, a_SSIM: 83.800%, a_time: 31.1, b_SSIM: 97.000%, l_SSIM: 56.500%
(epoch: 1, iters: 20, errors: 0, time: 6.32e+02s) a_loss: 0.158, a_SSIM: 84.200%, a_time: 31.6, b_SSIM: 96.200%, l_SSIM: 72.100%
(epoch: 1, iters: 20, errors: 3, time: 6.68e+02s) a_loss: 0.215, a_SSIM: 78.500%, a_time: 33.4, b_SSIM: 93.400%, l_SSIM: 42.600%
(epoch: 1, iters: 20, errors: 1, time: 6.86e+02s) a_loss: 0.194, a_SSIM: 80.600%, a_time: 34.3, b_SSIM: 95.800%, l_SSIM: 61.300%
(epoch: 1, iters: 20, errors: 2, time: 6.44e+02s) a_loss: 0.185, a_SSIM: 81.500%, a_time: 32.2, b_SSIM: 90.500%, l_SSIM: 68.300%
(epoch: 1, iters: 20, errors: 2, time: 6.74e+02s) a_loss: 0.172, a_SSIM: 82.800%, a_time: 33.7, b_SSIM: 93.600%, l_SSIM: 56.500%
(epoch: 1, iters: 20, errors: 0, time: 6.35e+02s) a_loss: 0.25, a_SSIM: 75.000%, a_time: 31.7, b_SSIM: 94.600%, l_SSIM: 33.700%
(epoch: 1, iters: 20, errors: 0, time: 6.5e+02s) a_loss: 0.158, a_SSIM: 84.200%, a_time: 32.5, b_SSIM: 97.000%, l_SSIM: 66.900%
(epoch: 1, iters: 20, errors: 2, time: 6.51e+02s) a_loss: 0.156, a_SSIM: 84.400%, a_time: 32.5, b_SSIM: 90.400%, l_SSIM: 76.400%
(epoch: 1, iters: 20, errors: 1, time: 6.29e+02s) a_loss: 0.186, a_SSIM: 81.400%, a_time: 31.5, b_SSIM: 93.600%, l_SSIM: 42.800%
(epoch: 1, iters: 20, errors: 1, time: 6.09e+02s) a_loss: 0.176, a_SSIM: 82.400%, a_time: 30.5, b_SSIM: 96.300%, l_SSIM: 11.500%
(epoch: 1, iters: 20, errors: 1, time: 6.01e+02s) a_loss: 0.196, a_SSIM: 80.400%, a_time: 30.0, b_SSIM: 94.200%, l_SSIM: 54.600%
(epoch: 1, iters: 20, errors: 1, time: 5.59e+02s) a_loss: 0.224, a_SSIM: 77.600%, a_time: 27.9, b_SSIM: 97.200%, l_SSIM: 11.100%
(epoch: 1, iters: 20, errors: 0, time: 5.62e+02s) a_loss: 0.187, a_SSIM: 81.300%, a_time: 28.1, b_SSIM: 96.600%, l_SSIM: 45.400%
(epoch: 1, iters: 20, errors: 1, time: 5.71e+02s) a_loss: 0.173, a_SSIM: 82.700%, a_time: 28.6, b_SSIM: 94.900%, l_SSIM: 50.000%
(epoch: 1, iters: 20, errors: 1, time: 5.59e+02s) a_loss: 0.174, a_SSIM: 82.600%, a_time: 28.0, b_SSIM: 97.700%, l_SSIM: 53.100%
(epoch: 1, iters: 20, errors: 1, time: 5.72e+02s) a_loss: 0.173, a_SSIM: 82.700%, a_time: 28.6, b_SSIM: 96.200%, l_SSIM: 53.100%
(epoch: 1, iters: 20, errors: 0, time: 5.63e+02s) a_loss: 0.21, a_SSIM: 79.000%, a_time: 28.1, b_SSIM: 96.900%, l_SSIM: 10.000%
(epoch: 1, iters: 20, errors: 0, time: 6.22e+02s) a_loss: 0.226, a_SSIM: 77.400%, a_time: 31.1, b_SSIM: 92.900%, l_SSIM: 33.500%
(epoch: 1, iters: 20, errors: 1, time: 5.96e+02s) a_loss: 0.178, a_SSIM: 82.200%, a_time: 29.8, b_SSIM: 92.200%, l_SSIM: 61.600%
==================================================25/03/2024 03:56:33==================================================
(epoch: 1, iters: 20, errors: 0, time: 2.31e+02s) a_loss: 0.211, a_SSIM: 78.900%, a_time: 11.5, b_SSIM: 96.700%, l_SSIM: 33.400%
(epoch: 1, iters: 20, errors: 0, time: 2.25e+02s) a_loss: 0.215, a_SSIM: 78.500%, a_time: 11.2, b_SSIM: 91.900%, l_SSIM: 44.100%
(epoch: 1, iters: 20, errors: 0, time: 2.23e+02s) a_loss: 0.19, a_SSIM: 81.000%, a_time: 11.2, b_SSIM: 95.800%, l_SSIM: 54.700%
(epoch: 1, iters: 20, errors: 1, time: 2.06e+02s) a_loss: 0.146, a_SSIM: 85.400%, a_time: 10.3, b_SSIM: 96.900%, l_SSIM: 67.100%
(epoch: 1, iters: 20, errors: 0, time: 1.97e+02s) a_loss: 0.202, a_SSIM: 79.800%, a_time: 9.86, b_SSIM: 92.700%, l_SSIM: 45.200%
(epoch: 1, iters: 20, errors: 1, time: 1.98e+02s) a_loss: 0.154, a_SSIM: 84.600%, a_time: 9.88, b_SSIM: 94.400%, l_SSIM: 68.000%
(epoch: 1, iters: 20, errors: 0, time: 1.99e+02s) a_loss: 0.222, a_SSIM: 77.800%, a_time: 9.93, b_SSIM: 95.000%, l_SSIM: 43.000%
(epoch: 1, iters: 20, errors: 0, time: 1.97e+02s) a_loss: 0.171, a_SSIM: 82.900%, a_time: 9.83, b_SSIM: 96.900%, l_SSIM: 62.000%
(epoch: 1, iters: 20, errors: 1, time: 1.96e+02s) a_loss: 0.173, a_SSIM: 82.700%, a_time: 9.82, b_SSIM: 94.500%, l_SSIM: 56.700%
(epoch: 1, iters: 20, errors: 0, time: 1.98e+02s) a_loss: 0.134, a_SSIM: 86.600%, a_time: 9.89, b_SSIM: 95.900%, l_SSIM: 71.800%
(epoch: 1, iters: 20, errors: 1, time: 2.07e+02s) a_loss: 0.223, a_SSIM: 77.700%, a_time: 10.4, b_SSIM: 94.600%, l_SSIM: 58.000%
(epoch: 1, iters: 20, errors: 1, time: 1.98e+02s) a_loss: 0.16, a_SSIM: 84.000%, a_time: 9.89, b_SSIM: 97.500%, l_SSIM: 61.900%
(epoch: 1, iters: 20, errors: 0, time: 1.95e+02s) a_loss: 0.237, a_SSIM: 76.300%, a_time: 9.76, b_SSIM: 92.900%, l_SSIM: 42.400%
(epoch: 1, iters: 20, errors: 3, time: 1.99e+02s) a_loss: 0.198, a_SSIM: 80.200%, a_time: 9.97, b_SSIM: 96.900%, l_SSIM: 62.800%
(epoch: 1, iters: 20, errors: 1, time: 1.95e+02s) a_loss: 0.193, a_SSIM: 80.700%, a_time: 9.76, b_SSIM: 95.300%, l_SSIM: 12.400%
(epoch: 1, iters: 20, errors: 1, time: 1.92e+02s) a_loss: 0.157, a_SSIM: 84.300%, a_time: 9.58, b_SSIM: 95.800%, l_SSIM: 55.200%
(epoch: 1, iters: 20, errors: 1, time: 1.94e+02s) a_loss: 0.204, a_SSIM: 79.600%, a_time: 9.69, b_SSIM: 92.700%, l_SSIM: 59.000%
(epoch: 1, iters: 20, errors: 2, time: 1.99e+02s) a_loss: 0.219, a_SSIM: 78.100%, a_time: 9.97, b_SSIM: 91.000%, l_SSIM: 27.200%
(epoch: 1, iters: 20, errors: 2, time: 2.03e+02s) a_loss: 0.189, a_SSIM: 81.100%, a_time: 10.1, b_SSIM: 96.400%, l_SSIM: 51.800%
(epoch: 1, iters: 20, errors: 0, time: 1.94e+02s) a_loss: 0.204, a_SSIM: 79.600%, a_time: 9.69, b_SSIM: 93.500%, l_SSIM: 41.600%
(epoch: 1, iters: 20, errors: 0, time: 1.96e+02s) a_loss: 0.152, a_SSIM: 84.800%, a_time: 9.8, b_SSIM: 96.100%, l_SSIM: 71.500%
(epoch: 1, iters: 20, errors: 0, time: 1.94e+02s) a_loss: 0.173, a_SSIM: 82.700%, a_time: 9.71, b_SSIM: 94.100%, l_SSIM: 61.700%
(epoch: 1, iters: 20, errors: 1, time: 1.96e+02s) a_loss: 0.174, a_SSIM: 82.600%, a_time: 9.79, b_SSIM: 96.100%, l_SSIM: 48.100%
(epoch: 1, iters: 20, errors: 1, time: 1.92e+02s) a_loss: 0.145, a_SSIM: 85.500%, a_time: 9.62, b_SSIM: 95.900%, l_SSIM: 53.500%
(epoch: 1, iters: 20, errors: 0, time: 1.92e+02s) a_loss: 0.173, a_SSIM: 82.700%, a_time: 9.58, b_SSIM: 96.400%, l_SSIM: 60.900%
(epoch: 1, iters: 20, errors: 0, time: 1.99e+02s) a_loss: 0.147, a_SSIM: 85.300%, a_time: 9.95, b_SSIM: 92.600%, l_SSIM: 55.700%
(epoch: 1, iters: 20, errors: 0, time: 1.9e+02s) a_loss: 0.145, a_SSIM: 85.500%, a_time: 9.52, b_SSIM: 92.200%, l_SSIM: 70.300%
(epoch: 1, iters: 20, errors: 1, time: 1.99e+02s) a_loss: 0.222, a_SSIM: 77.800%, a_time: 9.94, b_SSIM: 93.500%, l_SSIM: 50.200%
(epoch: 1, iters: 20, errors: 1, time: 1.95e+02s) a_loss: 0.177, a_SSIM: 82.300%, a_time: 9.73, b_SSIM: 96.600%, l_SSIM: 52.900%
(epoch: 1, iters: 20, errors: 2, time: 1.97e+02s) a_loss: 0.22, a_SSIM: 78.000%, a_time: 9.85, b_SSIM: 92.500%, l_SSIM: 44.000%
(epoch: 1, iters: 20, errors: 0, time: 1.9e+02s) a_loss: 0.172, a_SSIM: 82.800%, a_time: 9.49, b_SSIM: 96.400%, l_SSIM: 66.500%
(epoch: 1, iters: 20, errors: 0, time: 2.02e+02s) a_loss: 0.249, a_SSIM: 75.100%, a_time: 10.1, b_SSIM: 92.700%, l_SSIM: 11.700%
(epoch: 1, iters: 20, errors: 2, time: 1.96e+02s) a_loss: 0.207, a_SSIM: 79.300%, a_time: 9.81, b_SSIM: 90.600%, l_SSIM: 40.400%
(epoch: 1, iters: 20, errors: 1, time: 1.93e+02s) a_loss: 0.237, a_SSIM: 76.300%, a_time: 9.64, b_SSIM: 91.500%, l_SSIM: 29.100%
(epoch: 1, iters: 20, errors: 0, time: 1.96e+02s) a_loss: 0.172, a_SSIM: 82.800%, a_time: 9.81, b_SSIM: 93.900%, l_SSIM: 60.900%
(epoch: 1, iters: 20, errors: 3, time: 1.98e+02s) a_loss: 0.149, a_SSIM: 85.100%, a_time: 9.92, b_SSIM: 98.100%, l_SSIM: 67.500%
(epoch: 1, iters: 20, errors: 0, time: 1.96e+02s) a_loss: 0.181, a_SSIM: 81.900%, a_time: 9.82, b_SSIM: 95.100%, l_SSIM: 52.500%
(epoch: 1, iters: 20, errors: 0, time: 1.94e+02s) a_loss: 0.171, a_SSIM: 82.900%, a_time: 9.71, b_SSIM: 96.800%, l_SSIM: 57.300%
(epoch: 1, iters: 20, errors: 2, time: 1.98e+02s) a_loss: 0.182, a_SSIM: 81.800%, a_time: 9.88, b_SSIM: 96.600%, l_SSIM: 51.000%
(epoch: 1, iters: 20, errors: 0, time: 1.96e+02s) a_loss: 0.161, a_SSIM: 83.900%, a_time: 9.78, b_SSIM: 93.800%, l_SSIM: 70.800%
(epoch: 1, iters: 20, errors: 2, time: 1.97e+02s) a_loss: 0.198, a_SSIM: 80.200%, a_time: 9.83, b_SSIM: 91.800%, l_SSIM: 12.500%
(epoch: 1, iters: 20, errors: 0, time: 1.89e+02s) a_loss: 0.146, a_SSIM: 85.400%, a_time: 9.43, b_SSIM: 96.100%, l_SSIM: 35.900%
(epoch: 1, iters: 20, errors: 1, time: 2e+02s) a_loss: 0.209, a_SSIM: 79.100%, a_time: 9.99, b_SSIM: 94.600%, l_SSIM: 31.700%
(epoch: 1, iters: 20, errors: 2, time: 2.01e+02s) a_loss: 0.188, a_SSIM: 81.200%, a_time: 10.1, b_SSIM: 94.000%, l_SSIM: 51.900%
(epoch: 1, iters: 20, errors: 1, time: 1.95e+02s) a_loss: 0.167, a_SSIM: 83.300%, a_time: 9.76, b_SSIM: 96.900%, l_SSIM: 59.800%
(epoch: 1, iters: 20, errors: 1, time: 1.96e+02s) a_loss: 0.156, a_SSIM: 84.400%, a_time: 9.8, b_SSIM: 96.700%, l_SSIM: 62.500%
(epoch: 1, iters: 20, errors: 1, time: 1.97e+02s) a_loss: 0.171, a_SSIM: 82.900%, a_time: 9.84, b_SSIM: 97.100%, l_SSIM: 56.100%
(epoch: 1, iters: 20, errors: 3, time: 1.95e+02s) a_loss: 0.139, a_SSIM: 86.100%, a_time: 9.74, b_SSIM: 98.000%, l_SSIM: 72.300%
(epoch: 1, iters: 20, errors: 2, time: 2.02e+02s) a_loss: 0.195, a_SSIM: 80.500%, a_time: 10.1, b_SSIM: 96.700%, l_SSIM: 61.000%
(epoch: 1, iters: 20, errors: 1, time: 1.92e+02s) a_loss: 0.155, a_SSIM: 84.500%, a_time: 9.61, b_SSIM: 96.800%, l_SSIM: 54.900%
(epoch: 1, iters: 20, errors: 0, time: 1.89e+02s) a_loss: 0.151, a_SSIM: 84.900%, a_time: 9.47, b_SSIM: 97.300%, l_SSIM: 64.400%
(epoch: 1, iters: 20, errors: 2, time: 1.93e+02s) a_loss: 0.204, a_SSIM: 79.600%, a_time: 9.66, b_SSIM: 93.700%, l_SSIM: 45.300%
(epoch: 2, iters: 20, errors: 0, time: 1.92e+02s) a_loss: 0.00842, a_SSIM: 99.200%, a_time: 9.58, b_SSIM: 96.600%, l_SSIM: 43.500%
(epoch: 2, iters: 20, errors: 1, time: 1.93e+02s) a_loss: 0.16, a_SSIM: 84.000%, a_time: 9.67, b_SSIM: 93.900%, l_SSIM: 74.400%
(epoch: 2, iters: 20, errors: 2, time: 1.98e+02s) a_loss: 0.206, a_SSIM: 79.400%, a_time: 9.92, b_SSIM: 95.100%, l_SSIM: 43.800%
(epoch: 2, iters: 20, errors: 0, time: 1.92e+02s) a_loss: 0.179, a_SSIM: 82.100%, a_time: 9.6, b_SSIM: 96.300%, l_SSIM: 51.100%
